system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,tier0_urban,tier1_urban,tier2_urban,tier3_urban,tier4_urban,.geo
000004c398cf6a1fb120,NAM,NAM.13_1,Namibia,Zambezi,Caprivi,0.0,137.47673684433036,391.27570586111176,1642.950878339998,32397.471331801236,
0000dbdd67f13cd1c395,BWA,BWA.12_1,Botswana,North-West,North West|Bokone-Bophirima,1114.2936691897053,994.8702313472098,2189.878523182757,8950.452583010845,29582.589225572454,
0000f0794e97dbd642c1,BWA,BWA.5_1,Botswana,Ghanzi,Ghantsi,0.0,277.1949110432527,2859.2141750201927,6385.749432181739,4784.178835042821,
00000d3909c536a24e4c,ZMB,ZMB.10_1,Zambia,Western,Barotseland,36168.18551990367,7253.8464971208805,19223.185736399682,44645.39855273742,84258.7014443199,
00002f00e27ca1c32b8a,AGO,AGO.5_1,Angola,Cuando Cubango,,9550.173162350857,23450.296895143823,37297.25942983266,56914.99773274024,94320.62222863438,
0000fd0ad7ebece679cc,ZMB,ZMB.7_1,Zambia,North-Western,,22997.456069797434,32698.905082221645,39815.48103018456,51355.57644822066,113853.18759957129,
00008d4c125544774838,AGO,AGO.15_1,Angola,Moxico,,117644.93756874313,29910.122892013278,25851.1822804903,61407.33202617291,138718.10883200404,
0000d71fde1d7758ff18,COD,COD.15_1,Democratic Republic of the Congo,Lualaba,,636262.439436957,238487.36091914627,214040.75927000042,146894.02600032536,154018.83251601335,
0000ebcb52945ac3e432,COD,COD.4_1,Democratic Republic of the Congo,Haut-Lomami,,2046200.419658459,276485.8123141242,156730.10936973855,110588.20571454424,22843.630458532018,
0000b3f9d4d36f2a6b1a,COD,COD.14_1,Democratic Republic of the Congo,Lomami,,1606605.882220298,11859.175487542716,0.0,0.0,0.0,
0000c8d1e0759ab5adf6,COD,COD.7_1,Democratic Republic of the Congo,KasaÃ¯-Central,,2759869.4137418335,181478.07677628283,56715.941802268724,3517.8242383684715,0.0,
0000538f1e855ddda73f,COD,COD.8_1,Democratic Republic of the Congo,KasaÃ¯-Oriental,,1819838.1225881188,1216725.0004841296,375431.1012376403,400175.9393591702,190999.52552460914,
0000ec0daa7f964ccbf0,COD,COD.21_1,Democratic Republic of the Congo,Sankuru,,59535.345553022365,0.0,0.0,0.0,0.0,
0000c5e7cc885787bbac,COD,COD.17_1,Democratic Republic of the Congo,Maniema,,815752.0426964122,180103.84402774833,65675.63153266188,24492.662611021828,0.0,
