system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,pop14,pop15,pop16,pop17,pop18,pop19,.geo
00002071b993cf1abaa5,LBR,LBR.9_1,Liberia,Margibi,,139340.3351118632,142909.63274355856,146492.95988727268,150101.82705410785,153749.20969480943,157485.22150404603,
0000efc0e6b1324328e1,CIV,CIV.2_1,C̫te d'Ivoire,Bas-Sassandra,,1306528.731160894,1338975.4304189167,1372639.6542603974,1407301.3354804432,1442893.1181419732,1479385.0456313235,
0000aa958ecd3715c755,LBR,LBR.10_1,Liberia,Maryland,,93077.43634665753,95461.67197789822,97855.28585871759,100265.96482084578,102702.37511407712,105197.9889020414,
0000cd72e9ef91220391,LBR,LBR.7_1,Liberia,GrandKru,Grand Kru,64273.90595698166,65920.32585491078,67573.21718507123,69237.88943310283,70920.32782145133,72643.64843416835,
00007d6ec3b1bbe8f4d4,LBR,LBR.14_1,Liberia,River Gee,,82682.14343955039,84800.09610106803,86926.38084750192,89067.82563758257,91232.12862133548,93449.02307551847,
0000f40ba36f9387ba73,LBR,LBR.15_1,Liberia,Sinoe,,108652.8184576594,111436.03443949977,114230.19015404992,117044.26110343315,119888.36509950622,122801.57908409272,
00008b191d54f6a664e1,LBR,LBR.5_1,Liberia,GrandBassa,Grand Bassa,188477.27696269742,193305.2508422771,198152.20159756954,203033.69880351925,207967.29357066896,213020.77167477223,
0000defcf5b9a720b1a9,LBR,LBR.13_1,Liberia,River Cess,Rivercess,83656.03417197595,85798.94049129503,87950.26973665104,90116.93249649198,92306.71886799617,94549.71570971954,
00006c59a95551c057d6,LBR,LBR.6_1,Liberia,GrandGedeh,Grand Gedeh,96224.92246063922,98689.78941803075,101164.34480271552,103656.53748346683,106175.32797944236,108755.32354474248,
000063949a259c126e3a,CIV,CIV.8_1,C̫te d'Ivoire,Montagnes,,1461758.4107199253,1498060.104018864,1535724.0159270256,1574503.9120110816,1614324.427944815,1655152.0380236474,
0000f7ee77724941fe4b,LBR,LBR.12_1,Liberia,Nimba,,407422.71645747375,417859.087137306,428336.53375474364,438888.6881967546,449553.4812276148,460477.4239416298,
0000c27beff12c9248fa,LBR,LBR.2_1,Liberia,Bong,,255340.9819604435,261881.7090064719,268448.1545782283,275061.40699333214,281745.2422927532,288591.4910001474,
000054bf1264cdd7cbb3,LBR,LBR.8_1,Liberia,Lofa,,215492.13226803218,221011.7923948924,226553.22669117432,232134.2125324679,237774.79216834827,243552.431744141,
0000b8870bad030fd0ba,CIV,CIV.4_1,C̫te d'Ivoire,Dengu̩l̩,,216446.33623526635,221821.64927523254,227398.69536852185,233141.00139418457,239037.40438613386,245082.9343088642,
0000a50fa2869366876b,CIV,CIV.12_1,C̫te d'Ivoire,Woroba,,669117.0342911493,685734.0461433518,702974.6328471133,720726.0718239172,738953.861655509,757642.648205331,
