system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,noacc14,.geo,noacc19,noacc18,noacc17,noacc16,noacc15
0000aa958ecd3715c755,LBR,LBR.10_1,Liberia,Maryland,,54660.88478,,28666.7692,28666.7692,28666.7692,28666.7692,28666.7692
0000cd72e9ef91220391,LBR,LBR.7_1,Liberia,GrandKru,Grand Kru,119.3725679,,135.2081477,135.2081477,135.2081477,135.2081477,135.2081477
00007d6ec3b1bbe8f4d4,LBR,LBR.14_1,Liberia,River Gee,,15646.65684,,7898.85143,7898.85143,7898.85143,7898.85143,7898.85143
0000f40ba36f9387ba73,LBR,LBR.15_1,Liberia,Sinoe,,4114.584205,,5184.665119,5184.665119,5184.665119,5184.665119,5184.665119
00008b191d54f6a664e1,LBR,LBR.5_1,Liberia,GrandBassa,Grand Bassa,10161.6598,,4088.445634,4088.445634,4088.445634,4088.445634,4088.445634
0000defcf5b9a720b1a9,LBR,LBR.13_1,Liberia,River Cess,Rivercess,12513.78568,,11364.44941,11364.44941,11364.44941,11364.44941,11364.44941
00006c59a95551c057d6,LBR,LBR.6_1,Liberia,GrandGedeh,Grand Gedeh,22843.78797,,17714.20291,17714.20291,17714.20291,17714.20291,17714.20291
000063949a259c126e3a,CIV,CIV.8_1,C̫te d'Ivoire,Montagnes,,285863.1317,,161721.0703,161721.0703,161721.0703,161721.0703,161721.0703
0000f7ee77724941fe4b,LBR,LBR.12_1,Liberia,Nimba,,119430.3573,,57502.73031,57502.73031,57502.73031,57502.73031,57502.73031
0000c27beff12c9248fa,LBR,LBR.2_1,Liberia,Bong,,101407.9013,,64816.10012,64816.10012,64816.10012,64816.10012,64816.10012
000054bf1264cdd7cbb3,LBR,LBR.8_1,Liberia,Lofa,,117114.4253,,103784.4514,103784.4514,103784.4514,103784.4514,103784.4514
0000b8870bad030fd0ba,CIV,CIV.4_1,C̫te d'Ivoire,Dengu̩l̩,,8284.75976,,1379.071985,1379.071985,1379.071985,1379.071985,1379.071985
0000a50fa2869366876b,CIV,CIV.12_1,C̫te d'Ivoire,Woroba,,16974.92076,,1911.75355,1911.75355,1911.75355,1911.75355,1911.75355
0000b9090754a59a1575,CIV,CIV.9_1,C̫te d'Ivoire,Sassandra-Marahou̩,,116523.7923,,96642.60897,96642.60897,96642.60897,96642.60897,96642.60897
0000b2e1df0c1568c2c8,CIV,CIV.11_1,C̫te d'Ivoire,Vall̩e du Bandama,,16108.16598,,11924.72334,11924.72334,11924.72334,11924.72334,11924.72334
0000656b0e363a060add,CIV,CIV.6_1,C̫te d'Ivoire,Lacs,,2766.153156,,622.2144007,622.2144007,622.2144007,622.2144007,622.2144007
0000701e3d5d38823afb,CIV,CIV.13_1,C̫te d'Ivoire,Yamoussoukro,,0,,0,0,0,0,0
000092c509a76a18ea90,CIV,CIV.7_1,C̫te d'Ivoire,Lagunes,,25281.33176,,9938.917306,9938.917306,9938.917306,9938.917306,9938.917306
00006963ce9fa7537179,CIV,CIV.5_1,C̫te d'Ivoire,G̫h-Djiboua,,16794.36569,,3418.164376,3418.164376,3418.164376,3418.164376,3418.164376
00001d89e5cdde269603,CIV,CIV.1_1,C̫te d'Ivoire,Abidjan,,46.11262137,,0,0,0,0,0
0000a66c4948401503de,CIV,CIV.3_1,C̫te d'Ivoire,Como̩,,14825.16934,,4705.178891,4705.178891,4705.178891,4705.178891,4705.178891
000026df4ecb8fbc35c3,GHA,GHA.10_1,Ghana,Western,,15409.58889,,1417.63654,1417.63654,1417.63654,1417.63654,1417.63654
0000c35f47912db7c5b6,GHA,GHA.2_1,Ghana,Brong Ahafo,,60835.47544,,2411.854266,2411.854266,2411.854266,2411.854266,2411.854266
0000950f91de922668c8,CIV,CIV.14_1,C̫te d'Ivoire,Zanzan,,21338.54578,,6538.468603,6538.468603,6538.468603,6538.468603,6538.468603
00008053294388014a85,GHA,GHA.9_1,Ghana,Volta,,37363.40236,,6924.202099,6924.202099,6924.202099,6924.202099,6924.202099
00007dd09fb93783d97c,GHA,GHA.1_1,Ghana,Ashanti,,13288.69267,,2432.548633,2432.548633,2432.548633,2432.548633,2432.548633
0000cc7e8b9a4f17a1d4,GHA,GHA.4_1,Ghana,Eastern,,37100.84714,,27363.83726,27363.83726,27363.83726,27363.83726,27363.83726
0000f7f5c50752361d6c,GHA,GHA.3_1,Ghana,Central,,8465.038432,,38.36638575,38.36638575,38.36638575,38.36638575,38.36638575
00009a7340ea9f9a76f8,GHA,GHA.5_1,Ghana,Greater Accra,,9471.795422,,648.4131743,648.4131743,648.4131743,648.4131743,648.4131743
00000c7405ce08e51702,TGO,TGO.3_1,Togo,Maritime,R̩gion Maritime,150007.5117,,56966.49809,56966.49809,56966.49809,56966.49809,56966.49809
0000e3df791696cbba8c,BEN,BEN.8_1,Benin,Littoral,,0,,0,0,0,0,0
0000a8eddbe2b4857417,BEN,BEN.3_1,Benin,Atlantique,,72572.42354,,24788.68288,24788.68288,24788.68288,24788.68288,24788.68288
0000888616bbacfa4bbc,BEN,BEN.9_1,Benin,Mono,,108269.0533,,51067.07619,51067.07619,51067.07619,51067.07619,51067.07619
0000bf8d2448e9ed0d55,TGO,TGO.4_1,Togo,Plateaux,R̩gion des Plateaux,191343.1795,,117478.9101,117478.9101,117478.9101,117478.9101,117478.9101
0000ef6418c19db6364a,BEN,BEN.7_1,Benin,Kouffo,Couffo,345381.3809,,250630.1907,250630.1907,250630.1907,250630.1907,250630.1907
00004d0b034b83cbcc40,BEN,BEN.10_1,Benin,Ou̩m̩,,73326.24632,,20201.82835,20201.82835,20201.82835,20201.82835,20201.82835
00007a53e783ca808e01,BEN,BEN.12_1,Benin,Zou,,291672.4398,,128181.3286,128181.3286,128181.3286,128181.3286,128181.3286
00009106634d70aaeb2d,BEN,BEN.11_1,Benin,Plateau,,132757.5672,,31411.98966,31411.98966,31411.98966,31411.98966,31411.98966
0000464eb5e9b0693a2f,BEN,BEN.5_1,Benin,Collines,,98389.35343,,41001.55478,41001.55478,41001.55478,41001.55478,41001.55478
0000f75b01818ef10c75,TGO,TGO.1_1,Togo,Centre,"R̩gion Centrale, R̩gion du Centre",43731.37753,,1471.303854,1471.303854,1471.303854,1471.303854,1471.303854
0000ea598ff996305f7c,TGO,TGO.2_1,Togo,Kara,R̩gion de la Kara,24857.78049,,7001.267583,7001.267583,7001.267583,7001.267583,7001.267583
00005adaeb3c2d863410,BEN,BEN.2_1,Benin,Atakora,,47922.18349,,34216.6921,34216.6921,34216.6921,34216.6921,34216.6921
000026bb99e27bcda8e6,BEN,BEN.6_1,Benin,Donga,,15437.8459,,5395.054525,5395.054525,5395.054525,5395.054525,5395.054525
0000dfdfda48763359e2,BEN,BEN.4_1,Benin,Borgou,,129293.3182,,69481.75919,69481.75919,69481.75919,69481.75919,69481.75919
